11:20029674-20030460  upregulated fezf2
19:7651927-7652836  upregulated cgnb
20:32455530-32456507  upregulated nr2e1
21:20521924-20522810  upregulated efna5a
21:20506542-20507463  upregulated efna5a
21:20612333-20613179  upregulated efna5a
2:26290560-26291539  upregulated ptbp1a
23:23116312-23117401  upregulated samd11
23:23343289-23344264  upregulated her9
23:23436219-23436809  upregulated her9
23:23382225-23382919  upregulated her9
23:24377124-24378029  upregulated epha2b
23:24347028-24347890  upregulated epha2b
23:41558102-41559122  upregulated scube3
2:3684624-3685518  upregulated egfra
24:13269845-13270499  upregulated rdh10a
24:19503095-19503998  upregulated sulf1
24:19515424-19516399  upregulated sulf1
24:4452153-4453050  upregulated fzd8a
2:46501499-46502406  upregulated ephb1
25:28257092-28258037  upregulated cadps2
25:28144514-28145459  upregulated cadps2
25:28252792-28253717  upregulated cadps2
25:28151180-28152201  upregulated cadps2
25:28272740-28273521  upregulated cadps2
25:28181652-28182721  upregulated cadps2
25:28257092-28258037  upregulated fezf1
25:28252792-28253717  upregulated fezf1
25:28272740-28273521  upregulated fezf1
25:28181652-28182721  upregulated fezf1
25:28257092-28258037  upregulated aass
25:28252792-28253717  upregulated aass
25:28272740-28273521  upregulated aass
25:28181652-28182721  upregulated aass
3:12933574-12934594  upregulated pdgfab
5:17841139-17842070  upregulated fbrsl1
5:17841139-17842070  upregulated chfr
5:32960368-32961220  upregulated lmo4a
5:32966991-32967842  upregulated lmo4a
5:32963235-32964272  upregulated lmo4a
5:32969867-32970769  upregulated lmo4a
5:44880440-44881309  upregulated kank1a
5:64781341-64782263  upregulated lix1
5:64833558-64834396  upregulated lix1
5:7655583-7656497  upregulated bmpr1ba
5:7652571-7653445  upregulated bmpr1ba
6:15792492-15793393  upregulated ackr3b
6:19843773-19844686  upregulated ntn1a
6:49669549-49670464  upregulated apcdd1l
6:6612882-6613727  upregulated bcl11ab
6:6561720-6562635  upregulated bcl11ab
6:9573887-9574944  upregulated cyp27c1
7:28576146-28577040  upregulated dennd2b
7:31079769-31080682  upregulated tjp1a
7:33771563-33772449  upregulated tle3b
7:34756556-34757470  upregulated plekhg4
7:8823467-8824373  upregulated vax2
7:8794825-8795736  upregulated vax2
7:8787968-8788996  upregulated vax2
7:8830688-8831589  upregulated vax2
7:8799203-8800273  upregulated vax2
7:8881503-8882339  upregulated vax2
7:8810770-8811698  upregulated vax2
7:9803117-9803973  upregulated aldh1a3
8:16294977-16295895  upregulated dmrta2
8:16347938-16348853  upregulated dmrta2
8:16263684-16264563  upregulated dmrta2
8:16299635-16300538  upregulated dmrta2
8:16261585-16262487  upregulated dmrta2
8:16291077-16291924  upregulated dmrta2
8:3084870-3085420  upregulated lhx2b
8:3078149-3078785  upregulated lhx2b
8:2998383-2999275  upregulated lhx2b
9:28133397-28134295  upregulated fzd5
9:28164097-28164558  upregulated fzd5
9:29828342-29829247  upregulated il1rapl1a
9:31341175-31342135  upregulated zic2a18:15299217-15300113 peak within reach of gene downregulated rfx4
18:15380008-15380875  downregulated rfx4
18:20130563-20131468  downregulated tle3a
20:24858736-24859628  downregulated epha7
22:23421961-23422879  downregulated crb1
2:26290560-26291539  downregulated efna2a
7:36026268-36027190  downregulated irx3a
9:26027208-26027738  downregulated efnb2a
